"시도명","시군구명","상세주소","분포식물학명","분포식물국명"
"강원특별자치도","강릉시","노추산","Huperzia miyoshiana (Makino) Ching","다람쥐꼬리"
"강원특별자치도","강릉시","노추산","Huperzia serrata (Thunb.) Trevis.","뱀톱"
"강원특별자치도","강릉시","노추산","Equisetum hyemale L.","속새"
"강원특별자치도","강릉시","노추산","Festuca arundinacea Schreb.","큰김의털"
"강원특별자치도","강릉시","노추산","Disporum smilacinum A.Gray","애기나리"
"강원특별자치도","강릉시","노추산","Erythronium japonicum Decne.","얼레지"
"강원특별자치도","강릉시","노추산","Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura","처녀치마"
"강원특별자치도","강릉시","노추산","Alnus incana (L.) Moench subsp. hirsuta (Turcz. ex Spach) Á.Löve & D.Löve","물오리나무"
"강원특별자치도","강릉시","노추산","Carpinus cordata Blume","까치박달"
"강원특별자치도","강릉시","노추산","Corylus sieboldiana Blume var. mandshurica (Maxim.) C.K.Schneid.","물개암나무"
"강원특별자치도","강릉시","노추산","Ulmus davidiana Planch.","당느릅나무"
"강원특별자치도","강릉시","노추산","Ulmus laciniata (Herder) Mayr ex Schwapp.","난티나무"
"강원특별자치도","강릉시","노추산","Fallopia dumetorum (L.) Holub","닭의덩굴"
"강원특별자치도","강릉시","노추산","Persicaria dissitiflora (Hemsl.) H.Gross ex T.Mori","가시여뀌"
"강원특별자치도","강릉시","노추산","Persicaria lapathifolia (L.) Delarbre","흰여뀌"
"강원특별자치도","강릉시","노추산","Persicaria longiseta (Bruijn) Kitag.","개여뀌"
"강원특별자치도","강릉시","노추산","Persicaria nepalensis (Meisn.) H.Gross","산여뀌"
"강원특별자치도","강릉시","노추산","Polygonum aviculare L.","마디풀"
"강원특별자치도","강릉시","노추산","Aconitum jaluense Kom.","투구꽃"
"강원특별자치도","강릉시","노추산","Actaea dahurica (Turcz. ex Fisch. & C.A.Mey.) Franch.","눈빛승마"
"강원특별자치도","강릉시","노추산","Corydalis pauciovulata Ohwi","선괴불주머니"
"강원특별자치도","강릉시","노추산","Corydalis speciosa Maxim.","산괴불주머니"
"강원특별자치도","강릉시","노추산","Deutzia glabrata Kom.","물참대"
"강원특별자치도","강릉시","노추산","Agrimonia pilosa Ledeb.","짚신나물"
"강원특별자치도","강릉시","노추산","Melilotus albus Medik.","흰전동싸리"
"강원특별자치도","강릉시","노추산","Melilotus suaveolens Ledeb.","전동싸리"
"강원특별자치도","강릉시","노추산","Trifolium pratense L.","붉은토끼풀"
"강원특별자치도","강릉시","노추산","Flueggea suffruticosa (Pall.) Baill.","광대싸리"
"강원특별자치도","강릉시","노추산","Celastrus orbiculatus Thunb.","노박덩굴"
"강원특별자치도","강릉시","노추산","Euonymus alatus (Thunb.) Siebold","화살나무"
"강원특별자치도","강릉시","노추산","Euonymus alatus (Thunb.) Siebold f. ciliato-dentatus (Franch. & Sav.) Hiyama","회잎나무"
"강원특별자치도","강릉시","노추산","Euonymus macropterus Rupr.","나래회나무"
"강원특별자치도","강릉시","노추산","Euonymus sachalinensis (F.Schmidt) Maxim.","회나무"
"강원특별자치도","강릉시","노추산","Tripterygium regelii Sprague & Takeda","미역줄나무"
"강원특별자치도","강릉시","노추산","Acer barbinerve Maxim.","청시닥나무"
"강원특별자치도","강릉시","노추산","Acer mandshuricum Maxim.","복장나무"
"강원특별자치도","강릉시","노추산","Acer pictum Thunb. var. mono (Maxim.) Maxim. ex Franch.","고로쇠나무"
"강원특별자치도","강릉시","노추산","Acer pseudosieboldianum (Pax) Kom.","당단풍나무"
"강원특별자치도","강릉시","노추산","Acer tegmentosum Maxim.","산겨릅나무"
"강원특별자치도","강릉시","노추산","Acer triflorum Kom.","복자기"
"강원특별자치도","강릉시","노추산","Acer ukurunduense Trautv. & C.A.Mey.","부게꽃나무"
"강원특별자치도","강릉시","노추산","Symphyotrichum pilosum (Willd.) G.L.Nesom","미국쑥부쟁이"
"강원특별자치도","강릉시","노추산","Cirsium japonicum Fisch. ex DC. var. maackii (Maxim.) Matsum.","엉겅퀴"
