시도명,시군구명,상세주소,분포식물국명,addr
강원특별자치도,강릉시,노추산,다람쥐꼬리,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,뱀톱,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,속새,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,큰김의털,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,애기나리,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,얼레지,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,처녀치마,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,물오리나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,까치박달,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,물개암나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,당느릅나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,난티나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,닭의덩굴,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,가시여뀌,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,흰여뀌,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,개여뀌,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,산여뀌,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,마디풀,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,투구꽃,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,눈빛승마,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,선괴불주머니,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,산괴불주머니,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,물참대,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,짚신나물,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,흰전동싸리,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,전동싸리,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,붉은토끼풀,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,광대싸리,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,노박덩굴,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,화살나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,회잎나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,나래회나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,회나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,미역줄나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,청시닥나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,복장나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,고로쇠나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,당단풍나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,산겨릅나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,복자기,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,부게꽃나무,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,미국쑥부쟁이,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,엉겅퀴,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,큰엉겅퀴,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,고려엉겅퀴,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,망초,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,고들빼기,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,큰각시취,강원특별자치도 강릉시 노추산
강원특별자치도,강릉시,노추산,각시서덜취,강원특별자치도 강릉시 노추산
