name,addr,latitude,longitude
참취,강원특별자치도 강릉시 노추산,37.58616560413852,128.77743371143924
제비쑥,강원특별자치도 강릉시 노추산,37.58616560413852,128.77743371143924
꿀풀,강원특별자치도 강릉시 노추산,37.58616560413852,128.77743371143924
참취,강원특별자치도 강릉시 고루포기산,37.6468824,128.7338577
곰취,강원특별자치도 강릉시 고루포기산,37.6468824,128.7338577
참취,강원특별자치도 고성군 마산,38.40343,128.47319
곰취,강원특별자치도 고성군 마산,38.40343,128.47319
제비쑥,강원특별자치도 고성군 마산,38.40343,128.47319
꿀풀,강원특별자치도 고성군 마산,38.40343,128.47319
참취,강원특별자치도 고성군 명호리,38.5927,128.35284
꿀풀,강원특별자치도 고성군 사천리,38.409378,128.3181428
참취,강원특별자치도 동해시 청옥산,37.4346712,128.9727262
곰취,강원특별자치도 동해시 청옥산,37.4346712,128.9727262
참취,강원특별자치도 동해시 초록봉,37.5219096,129.0702809
꿀풀,강원특별자치도 동해시 초록봉,37.5219096,129.0702809
참취,강원특별자치도 태백시 두리봉,37.1017494,128.9591481
제비쑥,강원특별자치도 태백시 두리봉,37.1017494,128.9591481
꿀풀,강원특별자치도 태백시 두리봉,37.1017494,128.9591481
참취,강원특별자치도 삼척시 근산,37.4074,129.136
담배풀,강원특별자치도 삼척시 근산,37.4074,129.136
꿀풀,강원특별자치도 삼척시 근산,37.4074,129.136
참취,강원특별자치도 삼척시 검봉산,37.22914,129.2884
꿀풀,강원특별자치도 삼척시 검봉산,37.22914,129.2884
참취,강원특별자치도 삼척시 덕항산,37.308788,129.012634
꿀풀,강원특별자치도 삼척시 덕항산,37.308788,129.012634
참취,강원특별자치도 삼척시 응봉산,37.0766173,129.2305241
꿀풀,강원특별자치도 삼척시 응봉산,37.0766173,129.2305241
넉줄고사리,강원특별자치도 삼척시 응봉산,37.0766173,129.2305241
참취,강원특별자치도 삼척시 응봉산,37.0766173,129.2305241
꿀풀,강원특별자치도 삼척시 응봉산,37.0766173,129.2305241
메밀,강원특별자치도 양구군 봉화산,38.0427017,128.0112128
참취,강원특별자치도 양구군 봉화산,38.0427017,128.0112128
제비쑥,강원특별자치도 양구군 봉화산,38.0427017,128.0112128
꿀풀,강원특별자치도 양구군 봉화산,38.0427017,128.0112128
곰취,강원특별자치도 양구군 사명산,38.0759573,127.9051272
꿀풀,강원특별자치도 양구군 사명산,38.0759573,127.9051272
참취,강원특별자치도 양양군 만월산,37.953015,128.693521
제비쑥,강원특별자치도 양양군 만월산,37.953015,128.693521
꿀풀,강원특별자치도 양양군 만월산,37.953015,128.693521
참취,강원특별자치도 양양군 응복산,37.8756437,128.566923
제비쑥,강원특별자치도 양양군 응복산,37.8756437,128.566923
꿀풀,강원특별자치도 양양군 응복산,37.8756437,128.566923
참취,강원특별자치도 영월군 백덕산,37.3964738,128.2935238
메밀,강원특별자치도 영월군 신선봉,37.1431361,128.4252806
참취,강원특별자치도 영월군 신선봉,37.1431361,128.4252806
제비쑥,강원특별자치도 영월군 신선봉,37.1431361,128.4252806
꿀풀,강원특별자치도 영월군 신선봉,37.1431361,128.4252806
담배풀,강원특별자치도 영월군 응봉산,37.1644917,128.5645222
제비쑥,강원특별자치도 영월군 응봉산,37.1644917,128.5645222
참취,강원특별자치도 원주시 덕가산,37.35232,127.81451
제비쑥,강원특별자치도 원주시 덕가산,37.35232,127.81451
꿀풀,강원특별자치도 원주시 덕가산,37.35232,127.81451
참취,강원특별자치도 원주시 치악산,37.3651455,128.0556322
제비쑥,강원특별자치도 원주시 치악산,37.3651455,128.0556322
참취,"강원특별자치도 원주시 치악산,비로봉",37.3659709,128.0530072
참취,강원특별자치도 인제군 대암산,38.2110649,128.1347132
곰취,강원특별자치도 인제군 대암산,38.2110649,128.1347132
제비쑥,강원특별자치도 인제군 대암산,38.2110649,128.1347132
꿀풀,강원특별자치도 인제군 대암산,38.2110649,128.1347132
참취,강원특별자치도 인제군 방태산,37.8948281,128.3556055
곰취,강원특별자치도 인제군 방태산,37.8948281,128.3556055
제비쑥,강원특별자치도 인제군 방태산,37.8948281,128.3556055
꿀풀,강원특별자치도 인제군 방태산,37.8948281,128.3556055
꿀풀,강원특별자치도 인제군 설악산,38.1340905,128.41721715767403
곰취,강원특별자치도 인제군 점봉산,38.04874,128.425643
제비쑥,강원특별자치도 인제군 점봉산,38.04874,128.425643
참취,강원특별자치도 인제군 황철봉,38.1892151,128.4266001
참취,강원특별자치도 인제군 삼형제봉,38.0986667,128.3198167
곰취,강원특별자치도 인제군 삼형제봉,38.0986667,128.3198167
제비쑥,강원특별자치도 인제군 삼형제봉,38.0986667,128.3198167
